巷巷火锅,https://www.dianping.com/shop/l6bmN022b0ua0t15,157o条评价,人均￥86,麻辣牛肉 千层肚 鲜鸭肠
锦城印象火锅(高新天府长城店),https://www.dianping.com/shop/G6IwhKmaERfaytgK,2855条评价,人均￥143,锦城嫩牛肉 黑珍珠特供毛肚 生扣极品仔鹅肠
壹小馆.皇城老妈(成都远洋太古里店),https://www.dianping.com/shop/E9NgSuZ7X5ENjXdX,4433条评价,人均￥152,牛肉 虾滑 火锅自助
海底捞火锅(群光广场店),https://www.dianping.com/shop/k36NUszfABFuqwgO,4o19条评价,人均￥115,番茄锅底 招牌大颗粒虾滑 捞派肥牛
味之绝美蛙鱼头火锅(耍都店),https://www.dianping.com/shop/k62wfaGmdhQqeZ2G,3914条评价,人均￥77,美蛙 花鲢鱼头 味之绝美蛙
川西坝子(羊犀2.0直营店),https://www.dianping.com/shop/G63tfqFq8K1pYzeZ,735o条评价,人均￥118,嫩牛肉 精品千层肚 虾滑
大龙燚火锅(玉林总店),https://www.dianping.com/shop/l3CbyjLkryD8CHVr,5944条评价,人均￥99,
贤合庄卤味火锅(太古里店),https://www.dianping.com/shop/H3aIGE2O27r1sgwr,15514条评价,人均￥9o,
阳光岛·海鲜盛宴(银泰中心in99店),https://www.dianping.com/shop/H2ot5TdkhlW4zu35,3562条评价,人均￥247,
享月·汤皇(橡树林店),https://www.dianping.com/shop/l3KesJRexKeHPFZi,2617条评价,人均￥152,
椒香城门口老火锅(中航店),https://www.dianping.com/shop/EI7wU0EqR4Hz6Si7,4716条评价,人均￥94,
巴蜀大将火锅(ifs概念店),https://www.dianping.com/shop/Ha76Q27eRgOa5HRK,8551条评价,人均￥113,大将嫩牛肉 手工虾滑(新) 现切吊龙伴
川传串传承四川地道串串香(宽窄巷子总店),https://www.dianping.com/shop/l7Gptl295kyuP72X,4619条评价,人均￥79,香菜牛肉 八秒牛排 麻辣小郡干
舌尖牧牛·潮汕牛肉(凯德广场店),https://www.dianping.com/shop/l3Bm4oSECz0I1bcf,517条评价,人均￥98,吊龙 匙柄 嫩肉
全福居老北京涮羊肉(华阳店),https://www.dianping.com/shop/k6GfLcUrdccn0l4D,6322条评价,人均￥99,羊肉卷 糖蒜 烤鸭
不二·民谣音乐餐酒吧(九眼桥店),https://www.dianping.com/shop/H8W2IiFDGZcLjfAn,3126条评价,人均￥157,把把烧 不二手撕牛肉 糖醋排骨
正禾鲜·潮汕牛肉火锅(仁和新城店),https://www.dianping.com/shop/l8feKkkmXjqpiAmq,3427条评价,人均￥98,吊龙 手工牛筋丸 牛骨养身汤锅
匠岳·王宝器麻椒鱼(全国总店),https://www.dianping.com/shop/lagLthrCeD8aV1W3,4821条评价,人均￥74,麻椒鱼 秘制虾滑 茼蒿
书芙蓉舒食小火锅(银泰城店),https://www.dianping.com/shop/l9DeUMROvjPqAu8i,3139条评价,人均￥39,素食火锅 番茄 现做豆皮
沸悦鲜火锅(龙湖西宸天街店),https://www.dianping.com/shop/EqldFcYXvAdGUC9z,2688条评价,人均￥125,生抠土鸭肠 松茸鱼籽黑虎虾滑 干拌鲜血旺
海底捞火锅(金牛凯德店),https://www.dianping.com/shop/l8S4zKWVt3LRTxb6,5o94条评价,人均￥99,招牌虾滑 番茄锅底 捞派澳洲肥牛
春耕野菜馆(华阳店),https://www.dianping.com/shop/G6JdA9NDWZU0reHI,1o73条评价,人均￥73,野菜包子 豆豆汤 冰菜
